Temperature (°C),Humidity (%),Growth Days
33.4,53,1
33.5,53,2
33.4,59,3
33.4,68,4
33.4,74,5
32.3,77,6
32.3,75,7
22.7,63,8
31.9,69,9
30.2,59,10
30.1,77,11
30.1,54,12
30.1,78,13
29.8,56,14
29.6,62,15
30.9,70,16
30.8,57,17
30.9,78,18
30.2,63,19
30.5,51,20
30.8,57,21
31.3,73,22
31.4,52,23
31.4,61,24
30.1,77,25
29.4,71,26
28.7,64,27
29.1,51,28
29.2,55,29
31.7,50,30
31.7,52,31
31.7,76,32
31.7,55,33
32,55,34
32.1,76,35
31.5,68,36
29.8,68,37
20.1,61,38
31.1,64,39
31.2,79,40
31.2,62,41
30.4,57,42
29.1,75,43
30.6,55,44
31.5,68,45
33.4,74,1
33.5,65,2
33.4,55,3
33.4,68,4
33.4,50,5
32.3,78,6
32.3,77,7
22.7,57,8
31.9,73,9
30.2,65,10
30.1,71,11
30.1,65,12
30.1,75,13
29.8,58,14
29.6,50,15
30.9,79,16
30.8,56,17
30.9,71,18
30.2,51,19
30.5,62,20
30.8,69,21
31.3,54,22
31.4,58,23
31.4,64,24
30.1,78,25
29.4,57,26
28.7,57,27
29.1,58,28
29.2,56,29
31.7,56,30
31.7,73,31
31.7,57,32
31.7,61,33
32,63,34
32.1,75,35
31.5,77,36
29.8,61,37
20.1,63,38
31.1,70,39
31.2,56,40
31.2,66,41
30.4,75,42
29.1,72,43
30.6,52,44
31.5,79,45
33.4,51,1
33.5,63,2
33.4,65,3
33.4,62,4
33.4,65,5
32.3,80,6
32.3,80,7
22.7,65,8
31.9,62,9
30.2,69,10
30.1,55,11
30.1,80,12
30.1,63,13
29.8,69,14
29.6,53,15
30.9,58,16
30.8,67,17
30.9,79,18
30.2,58,19
30.5,80,20
30.8,79,21
31.3,55,22
31.4,74,23
31.4,53,24
30.1,80,25
29.4,75,26
28.7,73,27
29.1,73,28
29.2,69,29
31.7,76,30
31.7,75,31
31.7,69,32
31.7,50,33
32,72,34
32.1,72,35
31.5,75,36
29.8,78,37
20.1,80,38
31.1,79,39
31.2,73,40
31.2,69,41
30.4,54,42
29.1,73,43
30.6,58,44
31.5,73,45
30.5,75,46
29.7,72,47
33.4,62,1
33.5,54,2
33.4,60,3
33.4,58,4
33.4,57,5
32.3,59,6
32.3,65,7
22.7,57,8
31.9,69,9
30.2,66,10
30.1,70,11
30.1,64,12
30.1,66,13
29.8,52,14
29.6,59,15
30.9,57,16
30.8,77,17
30.9,66,18
30.2,71,19
30.5,58,20
30.8,58,21
31.3,73,22
31.4,63,23
31.4,53,24
30.1,66,25
29.4,56,26
28.7,73,27
29.1,71,28
29.2,63,29
31.7,68,30
31.7,71,31
31.7,69,32
31.7,71,33
32,71,34
32.1,51,35
31.5,60,36
29.8,78,37
20.1,51,38
31.1,63,39
31.2,50,40
31.2,72,41
30.4,64,42
29.1,62,43
30.6,58,44
31.5,63,45
31.3,71,46
30.8,63,47
30.6,62,48
33.4,67,1
33.5,53,2
33.4,54,3
33.4,76,4
33.4,67,5
32.3,50,6
32.3,74,7
22.7,59,8
31.9,54,9
30.2,77,10
30.1,79,11
30.1,63,12
30.1,75,13
29.8,78,14
29.6,65,15
30.9,78,16
30.8,68,17
30.9,57,18
30.2,67,19
30.5,78,20
30.8,61,21
31.3,57,22
31.4,53,23
31.4,55,24
30.1,52,25
29.4,67,26
28.7,58,27
29.1,75,28
29.2,54,29
31.7,66,30
31.7,56,31
31.7,67,32
31.7,66,33
32,66,34
32.1,72,35
31.5,70,36
29.8,65,37
20.1,54,38
31.1,76,39
31.2,52,40
31.2,72,41
30.4,60,42
29.1,58,43
30.6,77,44
31.5,80,45
33.4,66,1
33.5,77,2
33.4,66,3
33.4,56,4
33.4,62,5
32.3,65,6
32.3,60,7
22.7,74,8
31.9,73,9
30.2,71,10
30.1,59,11
30.1,64,12
30.1,74,13
29.8,78,14
29.6,50,15
30.9,59,16
30.8,58,17
30.9,56,18
30.2,73,19
30.5,63,20
30.8,54,21
31.3,51,22
31.4,73,23
31.4,52,24
30.1,51,25
29.4,76,26
28.7,65,27
29.1,68,28
29.2,59,29
31.7,77,30
31.7,77,31
31.7,53,32
31.7,77,33
32,64,34
32.1,61,35
31.5,56,36
29.8,74,37
20.1,55,38
31.1,71,39
31.2,56,40
31.2,57,41
30.4,68,42
29.1,68,43
30.6,61,44
31.5,71,45
33.4,74,1
33.5,78,2
33.4,51,3
33.4,58,4
33.4,75,5
